model,variant,seed,n_samples,n_pids,fold_r2_mean,fold_r2_std,overall_r2
ridge,swc_only_activity,42,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,42,2216,108,0.0034614637690961515,0.2578587167990837,0.07045437987601322
mlp,swc_only_activity,42,2216,108,0.05233017619663396,0.19891452696296452,0.10520382941401307
ridge,swc_only_activity,69,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,69,2216,108,-0.0017881290686200479,0.2527530304291754,0.05764347318760832
mlp,swc_only_activity,69,2216,108,0.04659854911764061,0.20357360562681637,0.12563771721785344
ridge,swc_only_activity,123,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,123,2216,108,0.014202304096528829,0.2633099137871291,0.07740847576221388
mlp,swc_only_activity,123,2216,108,0.023203834857239935,0.22522613794107973,0.10438081889352513
ridge,swc_only_activity,456,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,456,2216,108,-0.005520888406510771,0.2477416859674416,0.053385072962278346
mlp,swc_only_activity,456,2216,108,0.0614672960166994,0.18823535053389895,0.12297562181786126
ridge,swc_only_activity,789,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,789,2216,108,-0.0025139075369315254,0.25230639994875964,0.060633242048952485
mlp,swc_only_activity,789,2216,108,0.021232105600508543,0.20616148039732254,0.09136047412934845
ridge,swc_only_activity,1024,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,1024,2216,108,-0.008398977029027898,0.26601683949400423,0.056034439377852574
mlp,swc_only_activity,1024,2216,108,-0.026083357783861217,0.1564340280618408,0.043901021198484935
ridge,swc_only_activity,2048,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,2048,2216,108,-0.00031826041515290446,0.2632398288565889,0.06583829618684545
mlp,swc_only_activity,2048,2216,108,-0.051208803420216296,0.18552379948475098,0.025196775125898685
ridge,swc_only_activity,3333,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,3333,2216,108,-0.0011107722948850319,0.2640826787357903,0.06493044819895855
mlp,swc_only_activity,3333,2216,108,0.020364166351998402,0.21869508647341812,0.10186292880122028
ridge,swc_only_activity,5555,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
